Real Sto Return,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return
11162.9,1060000,-22004.98828125,212,16.6457,142.3523,212,11735.77
11048.1,1065000,-21521.32421875,213,16.8019,142.1153,213,11561.47
9998.65,1070000,-22168.357421875,214,14.5207,140.9971,214,10503.16
11465.01,1075000,-21677.556640625,215,15.877,142.0128,215,11875.74
11077.39,1080000,-21584.869140625,216,16.4187,141.6139,216,11932.88
11444.3,1085000,-22250.1484375,217,16.2358,141.3249,217,11960.8
11521.15,1090000,-22662.919921875,218,15.7704,141.1114,218,11770.74
10822.95,1095000,-22365.306640625,219,16.5599,141.9247,219,11543.6
11407.98,1100000,-22494.70703125,220,16.8718,141.6368,220,11824.49
10789.89,1105000,-23453.14453125,221,15.6528,141.9975,221,11763.46
10992.82,1110000,-23035.03125,222,17.3573,141.5171,222,11967.39
10606.82,1115000,-24190.9609375,223,16.9544,142.6088,223,11684.39
11157.69,1120000,-23952.27734375,224,16.7574,142.2632,224,11776.48
11516.21,1125000,-23728.046875,225,16.4255,141.7567,225,11932.87
11208.04,1130000,-24194.548828125,226,16.7352,141.8044,226,11489.68
10949.6,1135000,-23494.7265625,227,16.7204,141.4519,227,11755.93
11392.76,1140000,-24187.578125,228,16.6558,141.7721,228,11880.03
11311.37,1145000,-23766.048828125,229,17.5583,141.4875,229,11752.32
10340.89,1150000,-24563.509765625,230,17.4224,141.541,230,10761.01
11171.24,1155000,-25004.0234375,231,17.7608,142.4724,231,11682.35
11315.78,1160000,-24699.638671875,232,17.6962,142.0441,232,11187.55
11143.4,1165000,-24628.220703125,233,17.4388,141.9399,233,11524.1
2951.09,1170000,-32525.482421875,234,14.7567,153.8906,234,2957.19
10981.2,1175000,-24548.37890625,235,14.8649,141.357,235,10811.11
11072.65,1180000,-23373.59375,236,14.7141,140.1325,236,11378.79
10897.07,1185000,-24803.634765625,237,15.2785,142.0102,237,10792.14
10675.18,1190000,-25299.015625,238,14.9676,142.0816,238,11467.62
9146.79,1195000,-26494.921875,239,15.4999,143.0845,239,10314.34
10424.09,1200000,-25260.83984375,240,15.3571,141.4721,240,10244.55
10073.13,1205000,-26407.849609375,241,14.5347,141.5567,241,11744.63
10090.99,1210000,-25743.927734375,242,14.9733,141.6592,242,11521.47
10508.7,1215000,-26841.857421875,243,14.8759,141.9601,243,10395.95
10308.13,1220000,-25198.470703125,244,15.1682,141.0875,244,10861.68
5816.98,1225000,-29523.4453125,245,11.5184,143.325,245,6758.99
9014.9,1230000,-26920.435546875,246,13.5652,142.0482,246,9697.53
9945.2,1235000,-25666.818359375,247,14.1153,141.2802,247,11547.57
8582.43,1240000,-26374.99609375,248,13.7188,142.4737,248,9880.14
10962.68,1245000,-26829.8125,249,15.0888,141.1918,249,11084.18
11301.46,1250000,-27401.740234375,250,15.1033,141.8817,250,10335.77
10246.43,1255000,-27072.232421875,251,14.3001,142.0934,251,10731.85
9999.66,1260000,-26435.728515625,252,14.958,141.6216,252,11169.72
10314.26,1265000,-27280.212890625,253,14.1581,141.5424,253,11414.39
10171.37,1270000,-27094.2578125,254,14.9922,142.3944,254,10706.86
10636.56,1275000,-28170.455078125,255,14.55,141.4834,255,10794.83
10852.99,1280000,-28892.751953125,256,13.3739,142.2124,256,10935.12
9974.85,1285000,-28091.705078125,257,14.0598,141.2836,257,10834.99
4922.89,1290000,-30382.830078125,258,12.2974,141.4781,258,5279.9
8996.2,1295000,-28874.876953125,259,13.5762,141.5834,259,10773.84
9197.66,1300000,-29915.8203125,260,12.6919,142.6817,260,10226.33
9447.54,1305000,-28310.462890625,261,13.0894,141.9219,261,9556.57
10393.52,1310000,-28874.0546875,262,13.5968,141.3539,262,10159.75
6862.49,1315000,-31636.583984375,263,12.9029,143.9362,263,6952.56
8615.02,1320000,-29723.431640625,264,13.5132,142.3147,264,8936.35
10130.1,1325000,-28248.03515625,265,13.6912,140.7917,265,10825.33
7267.74,1330000,-32205.4609375,266,12.5708,143.5239,266,6049.33
10200.32,1335000,-28802.255859375,267,14.8578,141.2405,267,11358.33
9669.86,1340000,-29786.572265625,268,13.6991,141.4843,268,10038.0
10295.96,1345000,-30256.189453125,269,14.3315,142.3153,269,9451.9
7556.91,1350000,-32157.529296875,270,14.5683,143.4797,270,8911.32
8395.56,1355000,-32400.1875,271,14.6387,142.5239,271,7894.95
6895.81,1360000,-29392.28125,272,12.4907,142.0473,272,7821.47
9961.79,1365000,-28360.193359375,273,15.0074,140.9931,273,10327.0
5037.33,1370000,-31502.013671875,274,10.7194,143.1883,274,5713.87
9635.93,1375000,-31264.751953125,275,15.0979,142.0307,275,7777.91
9322.13,1380000,-28993.47265625,276,13.0115,140.9794,276,9215.47
10289.13,1385000,-30104.900390625,277,13.8497,141.038,277,9411.9
9428.63,1390000,-31247.28125,278,14.7337,142.3449,278,8105.28
7769.5,1395000,-28905.482421875,279,13.1309,143.1299,279,6185.05
11177.4,1400000,-29263.828125,280,13.0971,141.8859,280,11167.69
6548.34,1405000,-31111.787109375,281,12.2057,143.2669,281,7765.73
2587.45,1410000,-32981.546875,282,16.2013,147.934,282,2750.58
6709.16,1415000,-30897.76171875,283,12.5553,143.1937,283,6317.02
6862.6,1420000,-31942.5625,284,13.4861,141.7417,284,7509.88
9682.39,1425000,-28570.779296875,285,14.666,140.0146,285,9452.51
5287.04,1430000,-36147.8984375,286,13.3822,144.9851,286,4561.9
4131.93,1435000,-34900.9921875,287,12.427,144.0213,287,5561.34
7082.2,1440000,-33513.1171875,288,14.0581,144.0245,288,8231.5
10939.7,1445000,-31145.5703125,289,14.3521,141.5315,289,11429.83
6413.38,1450000,-33666.1953125,290,12.8918,142.6992,290,9231.19
6289.28,1455000,-35377.69140625,291,12.4983,144.6692,291,6240.09
8202.33,1460000,-33679.23828125,292,12.26,142.3421,292,7573.46
10443.71,1465000,-31948.974609375,293,14.0525,142.3914,293,10831.27
6426.01,1470000,-35913.15625,294,12.8622,143.5396,294,6160.41
7999.92,1475000,-31856.021484375,295,12.8134,142.2766,295,9944.17
8935.0,1480000,-30884.7109375,296,14.2922,141.9511,296,10018.08
9866.59,1485000,-34346.7421875,297,12.3281,143.819,297,7367.03
4416.69,1490000,-37490.00390625,298,11.2773,145.0565,298,4915.47
9777.21,1495000,-34312.95703125,299,14.1178,142.869,299,8555.44
5963.57,1500000,-36618.20703125,300,12.9757,144.0804,300,7211.52
6467.97,1505000,-37639.37109375,301,12.7082,144.3022,301,5513.68
5022.61,1510000,-37642.8984375,302,12.1309,144.0159,302,6987.46
9893.72,1515000,-32912.96875,303,14.6756,141.8239,303,9459.66
4957.3,1520000,-37797.16015625,304,12.4482,144.4588,304,4744.58
5883.41,1525000,-35518.546875,305,13.2013,142.9115,305,7411.65
4518.05,1530000,-38135.81640625,306,11.0487,144.741,306,6760.73
8840.81,1535000,-35230.5390625,307,12.8319,143.0348,307,10906.56
5255.45,1540000,-38439.65234375,308,11.6718,145.3328,308,4700.21
8451.27,1545000,-32743.544921875,309,14.5854,142.6663,309,10266.03
9264.76,1550000,-32657.142578125,310,14.1388,143.1932,310,9852.8
8467.13,1555000,-33588.34765625,311,13.234,143.059,311,10185.24
9541.74,1560000,-31408.501953125,312,13.9745,142.7339,312,9606.45
8450.77,1565000,-33304.5078125,313,13.3189,141.9014,313,9941.37
11002.83,1570000,-33402.53515625,314,14.5254,141.9215,314,11373.96
10358.32,1575000,-33477.890625,315,14.0383,142.4589,315,10076.82
10319.92,1580000,-33902.53515625,316,14.2314,141.5014,316,10680.62
9853.86,1585000,-31988.09375,317,14.7581,141.8191,317,11099.27
10365.68,1590000,-32687.93359375,318,14.6574,142.2906,318,11055.12
5225.57,1595000,-35960.7578125,319,12.9518,144.1191,319,6127.8
9081.98,1600000,-33041.1484375,320,14.4325,141.5959,320,9843.24
10261.72,1605000,-32270.9140625,321,13.7455,140.2741,321,11265.22
10893.66,1610000,-32942.328125,322,16.5043,141.0914,322,11368.56
8551.32,1615000,-33038.8984375,323,12.9846,141.3163,323,9037.58
9773.84,1620000,-34572.3828125,324,14.4167,142.2629,324,10777.26
10575.47,1625000,-33149.23828125,325,14.9213,141.2451,325,10900.95
10444.16,1630000,-33050.7578125,326,14.3956,141.3432,326,11256.18
10373.8,1635000,-34602.609375,327,13.8266,142.583,327,10826.71
10719.91,1640000,-36814.8671875,328,16.2113,143.7294,328,11069.53
10062.12,1645000,-34914.1640625,329,14.9264,141.6312,329,11241.16
10822.69,1650000,-35024.1015625,330,14.792,142.0992,330,11177.92
11275.3,1655000,-34276.875,331,14.576,140.9453,331,10662.31
10595.28,1660000,-34645.4296875,332,14.834,141.9901,332,11066.27
10074.99,1665000,-35201.3515625,333,13.9791,142.0998,333,11313.71
9573.19,1670000,-35129.71875,334,13.6684,142.238,334,10493.42
10570.85,1675000,-36265.8046875,335,13.8239,141.8491,335,10908.13
10073.35,1680000,-37121.890625,336,14.2048,142.4597,336,9988.7
10123.39,1685000,-36299.0390625,337,13.7699,142.416,337,10241.69
10649.58,1690000,-35939.11328125,338,15.537,142.3415,338,10979.08
10644.33,1695000,-37396.38671875,339,15.4108,141.9414,339,10876.49
9186.23,1700000,-36567.890625,340,15.6647,142.5521,340,9754.33
9594.34,1705000,-35770.76953125,341,14.831,141.8731,341,10272.8
10202.97,1710000,-36442.53515625,342,14.8824,141.3353,342,10152.95
10284.17,1715000,-37398.48046875,343,14.021,143.9787,343,10521.94
9697.43,1720000,-38078.7890625,344,14.0812,143.0425,344,10493.46
10448.15,1725000,-37723.4375,345,14.173,142.649,345,10421.89
10418.47,1730000,-37585.40234375,346,13.7314,142.8684,346,10691.24
9876.93,1735000,-37445.6640625,347,14.6709,143.2061,347,11092.81
10491.96,1740000,-36904.609375,348,14.1584,141.9936,348,11171.65
9942.47,1745000,-37804.19140625,349,14.3373,142.1749,349,10583.18
10528.29,1750000,-35908.546875,350,14.553,141.7505,350,10955.59
10277.64,1755000,-37904.171875,351,12.9201,142.4729,351,11118.5
10556.92,1760000,-37485.05859375,352,14.1297,140.5014,352,11248.74
10727.73,1765000,-36248.38671875,353,14.6068,141.5523,353,11075.46
10817.48,1770000,-36459.6875,354,14.3076,141.61,354,11236.25
10576.98,1775000,-37681.39453125,355,14.2622,140.8497,355,10821.06
10740.67,1780000,-38033.99609375,356,14.5874,141.3404,356,10720.2
10347.08,1785000,-37499.39453125,357,15.3074,142.1088,357,10908.92
10516.87,1790000,-38084.8359375,358,14.7392,142.0745,358,10859.54
10997.41,1795000,-37647.08984375,359,14.7032,140.96,359,11375.17
10874.6,1800000,-37501.5078125,360,14.8433,141.2968,360,11325.02
10182.33,1805000,-38258.16796875,361,14.3404,141.3074,361,11245.56
10372.69,1810000,-39414.7109375,362,14.8419,142.448,362,10208.77
9564.45,1815000,-40580.2109375,363,14.4819,142.1195,363,10333.64
10194.64,1820000,-40096.76171875,364,14.4758,142.4008,364,10107.62
10799.84,1825000,-37718.5390625,365,14.3865,140.7553,365,11646.96
10758.08,1830000,-38533.0078125,366,15.6326,141.2066,366,11361.23
10408.35,1835000,-38873.671875,367,14.9213,141.5686,367,10946.02
11154.06,1840000,-38444.4296875,368,15.8999,141.4051,368,11493.7
10053.66,1845000,-39079.74609375,369,15.0817,142.1661,369,10221.16
10616.5,1850000,-38723.18359375,370,14.5286,141.4059,370,11514.61
8700.67,1855000,-40110.0,371,14.8808,141.9728,371,9998.98
10872.82,1860000,-38130.00390625,372,14.7525,140.7952,372,11225.7
10307.89,1865000,-38171.5,373,14.9541,140.8374,373,11004.52
10028.71,1870000,-39680.17578125,374,21.8055,141.429,374,10084.0
8799.88,1875000,-39286.4609375,375,18.04,141.8325,375,11065.79
8740.09,1880000,-40976.76171875,376,14.1076,141.8921,376,11131.53
9884.49,1885000,-40598.01953125,377,14.6723,141.8914,377,10459.92
10676.04,1890000,-41853.16015625,378,15.0832,141.8267,378,11126.11
10906.87,1895000,-40078.60546875,379,21.491,142.0575,379,10936.75
10277.25,1900000,-38536.39453125,380,22.5971,141.5036,380,10012.39
10438.4,1905000,-40075.671875,381,15.2981,141.3917,381,11113.87
11214.12,1910000,-40256.9609375,382,14.9317,141.0012,382,11474.34
8269.84,1915000,-39700.38671875,383,12.8551,142.5003,383,8536.36
11299.39,1920000,-38888.05859375,384,16.3648,140.2097,384,11872.77
