Running Env Steps,Itration,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Running Update Time
1280000,256,7252.18,144.1493,-33220.953125,16.2183,7481.68,256
1285000,257,9377.45,143.5077,-30008.015625,19.6743,7848.55,257
1290000,258,8400.47,142.874,-29706.35546875,19.0339,8917.67,258
1295000,259,8767.95,142.5849,-29224.19921875,18.3126,11213.46,259
1300000,260,10233.02,142.4554,-30670.5703125,19.8721,11899.64,260
1305000,261,10652.93,142.8366,-28809.203125,19.8508,9090.1,261
1310000,262,10283.62,141.4818,-28413.404296875,21.0446,12197.54,262
1315000,263,11316.46,141.942,-29116.880859375,19.1317,12345.79,263
1320000,264,8480.24,143.4549,-33487.828125,17.4443,8817.89,264
1325000,265,10722.25,142.4819,-29991.46875,18.9033,8727.08,265
1330000,266,11886.97,142.276,-29726.96484375,19.753,9709.27,266
1335000,267,11634.84,142.2986,-29529.15625,20.2093,11967.02,267
1340000,268,11865.46,141.1382,-28490.609375,21.8064,11502.37,268
1345000,269,11914.32,141.7705,-28188.00390625,21.191,12155.48,269
1350000,270,8744.46,142.6495,-32039.716796875,19.2032,8158.45,270
1355000,271,11888.0,142.5015,-28407.017578125,20.454,12071.4,271
1360000,272,10014.25,143.3555,-34461.671875,18.2974,9543.39,272
1365000,273,9952.77,142.0091,-31542.724609375,20.0145,11060.59,273
1370000,274,10878.76,141.6107,-30361.591796875,20.4758,11911.13,274
1375000,275,11109.45,141.8646,-29403.265625,21.5662,12355.56,275
1380000,276,12027.46,141.217,-27882.005859375,21.1272,12424.88,276
1385000,277,11581.06,141.8667,-29079.404296875,20.7466,11803.04,277
1390000,278,11674.46,140.929,-28057.28125,21.1643,12579.03,278
1395000,279,10956.0,141.9358,-29722.408203125,21.783,11576.97,279
1400000,280,12004.84,141.8531,-29202.423828125,20.0779,12539.4,280
1405000,281,9950.3,142.3249,-31772.408203125,18.4256,10606.11,281
1410000,282,11447.41,141.7207,-28842.439453125,21.2643,12569.68,282
1415000,283,12058.91,140.4682,-27712.9609375,21.0553,12529.31,283
1420000,284,11357.92,142.2602,-29048.298828125,21.0622,11931.2,284
1425000,285,11359.48,140.8971,-28736.65625,21.2446,12583.85,285
1430000,286,12236.26,141.3874,-28303.9921875,20.5222,12578.07,286
1435000,287,12099.61,140.9127,-28515.76171875,21.1699,12566.6,287
1440000,288,12169.26,141.6211,-29641.771484375,20.334,12610.66,288
1445000,289,11747.68,141.447,-28458.82421875,20.6164,12114.77,289
1450000,290,11511.4,140.9622,-28602.1953125,21.6969,12503.83,290
1455000,291,11857.07,141.2714,-29357.0234375,21.1888,12280.77,291
1460000,292,11784.55,140.0421,-28767.400390625,20.3672,12107.41,292
1465000,293,11907.07,141.1391,-28248.974609375,20.9834,12247.18,293
1470000,294,11618.83,141.005,-30307.787109375,20.3593,12149.74,294
1475000,295,11366.03,140.2958,-29139.537109375,20.3388,12074.33,295
1480000,296,11902.16,140.9886,-29052.83203125,19.9966,12210.17,296
1485000,297,11752.33,141.2984,-29335.119140625,20.801,11650.29,297
1490000,298,11915.65,141.0408,-29428.72265625,20.9709,12220.2,298
1495000,299,11994.08,141.0811,-29077.140625,20.0997,12408.83,299
1500000,300,11968.35,141.687,-29959.82421875,20.68,12344.33,300
1505000,301,11318.97,140.5766,-30518.671875,20.7761,12124.14,301
1510000,302,11721.84,141.9476,-30517.904296875,19.677,12304.5,302
1515000,303,11969.65,140.0787,-30087.0859375,20.5482,11579.65,303
1520000,304,11399.52,141.1797,-29882.298828125,20.3068,12271.65,304
1525000,305,10950.39,141.5435,-30344.150390625,20.7804,12341.6,305
1530000,306,11747.51,140.4615,-31231.009765625,19.3871,12125.94,306
1535000,307,11527.58,140.7965,-31233.427734375,20.6321,12258.37,307
1540000,308,11843.82,141.1944,-30648.181640625,20.9676,12444.97,308
1545000,309,12086.63,140.839,-30629.841796875,21.2219,12562.09,309
1550000,310,12032.44,140.7811,-30387.5703125,21.2475,12464.04,310
1555000,311,11861.72,141.1803,-30327.212890625,20.4751,12296.05,311
1560000,312,12151.74,141.4669,-30464.16796875,20.7235,12581.2,312
1565000,313,11927.82,140.139,-30858.6328125,20.8068,12219.8,313
1570000,314,12173.43,141.1771,-30413.6953125,21.3725,12514.52,314
1575000,315,11904.72,141.2108,-30091.52734375,20.7009,12597.19,315
1580000,316,11845.23,141.365,-30253.279296875,21.0523,12590.37,316
1585000,317,12039.12,142.0303,-30031.5859375,20.3898,12369.9,317
1590000,318,12194.17,140.5073,-30394.712890625,20.6491,12621.27,318
1595000,319,11856.77,142.2286,-30716.0390625,20.1942,12435.53,319
1600000,320,11968.46,140.3867,-30976.962890625,20.8643,12329.52,320
1605000,321,12237.56,140.3232,-30494.681640625,20.7662,12735.27,321
1610000,322,11717.62,140.8766,-31757.021484375,20.9167,12572.72,322
1615000,323,11937.81,140.8951,-30601.349609375,21.0478,12386.39,323
1620000,324,11739.12,140.5255,-31797.99609375,20.5458,12585.8,324
1625000,325,12013.9,142.1788,-33692.61328125,20.3981,12456.94,325
1630000,326,12133.85,140.4686,-31317.111328125,21.2002,12557.6,326
1635000,327,12184.61,141.6304,-31888.802734375,20.9636,12598.45,327
1640000,328,11720.17,141.5721,-31970.54296875,20.9301,12206.87,328
1645000,329,11453.61,140.5893,-32865.29296875,20.1746,12239.44,329
1650000,330,12186.62,140.3689,-31570.11328125,21.0624,12115.83,330
1655000,331,11685.2,140.4427,-31603.015625,20.3406,12671.13,331
1660000,332,11825.51,141.8448,-32217.42578125,20.5325,12138.65,332
1665000,333,12038.52,141.7668,-32194.611328125,20.5317,12504.78,333
1670000,334,11213.39,142.0028,-32828.41015625,21.5292,12648.8,334
1675000,335,12211.36,140.2729,-32661.025390625,20.0542,12521.72,335
1680000,336,11936.26,141.646,-33514.8203125,21.4097,12536.8,336
1685000,337,12193.96,140.0867,-32647.46875,20.7218,12290.91,337
1690000,338,12185.36,140.558,-32114.52734375,20.6564,12715.32,338
1695000,339,12066.69,141.9618,-31923.15234375,21.347,12757.74,339
1700000,340,11700.43,140.8691,-32274.2265625,20.3321,12632.92,340
1705000,341,11898.29,140.6145,-32469.755859375,20.9297,12231.89,341
1710000,342,12050.92,140.7013,-32288.7890625,20.778,12626.12,342
1715000,343,11989.54,141.085,-32752.193359375,19.1939,12354.97,343
1720000,344,12152.63,140.9446,-32131.47265625,20.3207,12512.43,344
1725000,345,12213.71,141.3831,-32867.98828125,20.8407,12595.91,345
1730000,346,12206.77,141.8366,-33213.33984375,20.8939,12685.72,346
1735000,347,11830.33,140.9185,-32687.21875,20.61,12304.34,347
1740000,348,12056.99,141.7698,-32791.67578125,20.5915,12415.69,348
1745000,349,11935.24,140.1162,-32990.48046875,20.6868,12319.19,349
1750000,350,12056.19,140.8102,-32664.634765625,21.244,12471.07,350
1755000,351,12070.57,141.4351,-33157.10546875,21.2101,12524.22,351
1760000,352,11917.18,140.2184,-33287.3125,21.2249,12257.51,352
1765000,353,11696.84,140.2141,-33005.76953125,20.8709,12746.9,353
1770000,354,12022.39,141.4653,-32876.37109375,20.474,12455.57,354
1775000,355,12219.04,141.0154,-33577.61328125,20.6482,12541.98,355
1780000,356,12046.75,140.256,-32975.75390625,20.148,12439.92,356
1785000,357,12305.93,141.704,-33075.25,19.4592,12599.14,357
1790000,358,12069.85,140.693,-33842.89453125,19.8882,12827.39,358
1795000,359,12312.45,140.6402,-33067.23828125,21.1414,12715.28,359
1800000,360,12146.23,141.3514,-33714.7578125,20.3316,12546.53,360
1805000,361,11934.95,140.9276,-34628.14453125,18.7918,12159.12,361
1810000,362,12339.24,141.662,-33961.1953125,20.532,12144.81,362
1815000,363,11949.46,141.4329,-33109.0,20.2441,12469.42,363
1820000,364,11763.2,140.093,-33336.26953125,20.1259,12587.1,364
1825000,365,10802.5,140.8844,-34318.34375,20.1213,12578.35,365
1830000,366,12108.78,141.7526,-33954.9609375,19.7635,12563.21,366
1835000,367,11568.77,141.7317,-33851.6953125,19.4983,12338.19,367
1840000,368,12367.0,140.6308,-34192.03515625,19.9847,12067.76,368
1845000,369,11760.36,141.3168,-33977.90234375,20.9372,12622.49,369
1850000,370,11891.51,141.4849,-34674.97265625,19.9674,12344.65,370
1855000,371,11259.69,141.6535,-34703.84765625,20.3964,12751.52,371
1860000,372,12303.73,141.7558,-34732.9296875,20.0412,12643.28,372
1865000,373,12149.57,141.4628,-34442.5234375,19.9191,12372.8,373
1870000,374,12422.29,141.2658,-35027.1796875,19.8816,12635.45,374
1875000,375,11878.75,141.2808,-35384.87109375,19.7714,12806.46,375
1880000,376,11842.4,141.5979,-34893.76171875,20.5401,12502.61,376
1885000,377,12333.78,141.6973,-35307.02734375,19.5933,12874.35,377
1890000,378,12216.09,141.3625,-34825.09765625,21.0113,12621.19,378
1895000,379,12149.29,140.953,-34742.78125,20.2773,12354.78,379
1900000,380,11713.76,142.0583,-35537.40625,20.4576,12662.89,380
1905000,381,11886.74,140.7675,-35394.7421875,20.3683,12449.0,381
1910000,382,11803.32,141.5355,-35407.98828125,20.1266,12420.36,382
1915000,383,12131.56,139.9858,-35524.63671875,19.5362,12588.9,383
1920000,384,12178.58,140.6396,-35257.5078125,20.4413,12462.97,384
1925000,385,12319.07,141.5708,-35781.74609375,20.5486,12783.12,385
