Running Env Steps,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time
1400000,2276.08,280,15.2673,-59845.1640625,156.7114,1873.34,280
1405000,2283.57,281,15.072,-59717.91015625,156.7971,1879.17,281
1410000,2293.99,282,15.2264,-60011.4921875,156.6888,1890.75,282
1415000,2280.5,283,15.3765,-60419.07421875,156.9003,1881.4,283
1420000,2282.11,284,15.3591,-60476.5625,156.8333,1896.58,284
1425000,2300.2,285,15.2921,-60787.72265625,156.6633,1895.86,285
1430000,2301.49,286,15.3714,-61058.71484375,156.8459,1896.31,286
1435000,2284.35,287,15.321,-61176.98828125,156.8292,1876.87,287
1440000,2306.2,288,15.2044,-61119.51953125,156.6967,1884.87,288
1445000,2297.49,289,15.2073,-61312.890625,156.7821,1891.99,289
1450000,2286.69,290,15.2654,-61741.796875,156.765,1878.38,290
1455000,2303.6,291,15.201,-61627.4453125,156.685,1902.16,291
1460000,2299.59,292,15.1047,-61836.28125,156.8365,1902.74,292
1465000,2291.48,293,15.1656,-62043.8046875,156.7449,1903.69,293
1470000,2305.92,294,15.2501,-62179.265625,156.7416,1887.41,294
1475000,2296.44,295,15.2366,-62270.2578125,156.8453,1889.53,295
1480000,2292.09,296,15.2728,-62579.71875,156.6745,1880.77,296
1485000,2300.62,297,15.2314,-62758.6328125,156.7623,1885.97,297
1490000,2304.74,298,15.1181,-62755.6875,156.7162,1896.46,298
1495000,2295.97,299,15.1061,-62723.6953125,156.5974,1869.24,299
1500000,2287.14,300,15.1673,-63013.0078125,156.6594,1860.14,300
1505000,2281.72,301,14.9734,-63261.5625,156.7866,1864.97,301
1510000,2301.47,302,15.2391,-63592.609375,156.6602,1882.03,302
1515000,2279.64,303,15.1659,-63632.7265625,156.6234,1866.58,303
1520000,2263.48,304,15.1094,-63719.1875,156.6837,1827.03,304
1525000,2202.91,305,14.8354,-63299.4296875,156.8083,1759.54,305
1530000,2149.59,306,15.1169,-64520.26171875,156.6558,1681.31,306
1535000,2224.12,307,14.9305,-64386.859375,156.6634,1766.32,307
1540000,2176.32,308,14.9104,-64413.796875,156.5491,1766.53,308
1545000,2255.95,309,14.8342,-64344.1484375,156.5512,1674.26,309
1550000,2284.58,310,14.8672,-64405.29296875,156.6427,1845.55,310
1555000,2315.94,311,15.0367,-64566.43359375,156.6266,1876.82,311
1560000,2284.31,312,15.0434,-65032.59765625,156.812,1884.15,312
1565000,2305.79,313,15.0655,-64956.80859375,156.742,1881.99,313
1570000,2274.64,314,15.1398,-65031.62890625,156.8098,1865.54,314
1575000,2018.98,315,14.8984,-64398.60546875,156.716,1654.08,315
1580000,2263.18,316,15.0293,-65170.95703125,156.7161,1885.08,316
1585000,2303.76,317,15.5801,-65531.75390625,156.9158,1922.74,317
1590000,2199.48,318,15.0923,-65579.6953125,156.6688,1862.48,318
1595000,2264.09,319,15.2856,-65646.484375,156.8029,1906.24,319
1600000,2262.93,320,15.1822,-65743.6171875,156.8158,1904.77,320
1605000,2198.19,321,14.8456,-65476.39453125,156.6825,1844.04,321
1610000,2275.24,322,15.2998,-65925.515625,156.9178,1914.1,322
1615000,2286.74,323,15.2043,-65992.078125,156.8507,1911.37,323
1620000,2295.76,324,15.4303,-66256.5078125,156.7804,1935.99,324
1625000,2315.07,325,15.404,-66451.390625,156.8611,1939.17,325
1630000,2301.33,326,15.2556,-66395.875,156.6611,1927.99,326
1635000,2311.0,327,15.2513,-66435.4453125,156.8449,1918.19,327
1640000,2305.17,328,15.4119,-66656.015625,156.68,1938.24,328
1645000,2299.97,329,15.2798,-66818.4921875,156.7971,1928.87,329
1650000,2262.54,330,15.1661,-66905.8125,156.8056,1892.29,330
1655000,2290.72,331,15.2105,-67027.96875,156.7761,1915.68,331
1660000,2286.4,332,15.1648,-67040.7890625,156.9057,1906.43,332
1665000,2295.87,333,15.2283,-67409.0703125,156.7643,1933.75,333
1670000,2312.96,334,15.4435,-67569.5703125,156.7597,1925.18,334
1675000,2305.47,335,15.3753,-67662.796875,156.7446,1915.72,335
1680000,2290.68,336,15.3515,-67632.0234375,156.9078,1923.62,336
1685000,2268.57,337,15.2236,-67556.4140625,156.8301,1901.53,337
1690000,2292.4,338,15.0689,-67687.3515625,156.6866,1922.87,338
1695000,2274.62,339,15.279,-67769.2109375,156.7355,1912.46,339
1700000,2324.16,340,15.2308,-68213.2734375,156.6339,1934.35,340
1705000,2297.01,341,15.2178,-68266.6796875,156.7567,1924.91,341
1710000,2301.55,342,15.3987,-68348.5390625,156.4948,1936.98,342
1715000,2282.06,343,15.0703,-68249.1796875,156.8456,1919.98,343
1720000,2279.32,344,15.1612,-68478.6484375,156.6872,1914.63,344
1725000,2305.03,345,15.0767,-68231.359375,156.6893,1948.88,345
1730000,2268.03,346,15.2028,-68637.2890625,156.7207,1905.3,346
1735000,2300.6,347,15.0799,-68868.0390625,156.8372,1941.79,347
1740000,2263.62,348,15.1761,-68877.890625,156.8732,1904.51,348
1745000,2301.81,349,15.2524,-68984.125,156.7713,1944.75,349
1750000,2319.93,350,15.3815,-69339.2109375,156.7286,1931.99,350
1755000,2306.92,351,15.2612,-69169.75,156.6887,1940.78,351
1760000,2316.26,352,15.2616,-69257.7578125,156.7507,1952.29,352
1765000,2296.99,353,15.0382,-69254.8046875,156.6842,1913.21,353
1770000,2298.09,354,15.1343,-69254.484375,156.7596,1925.63,354
1775000,2331.98,355,15.4747,-69866.171875,156.784,1965.86,355
1780000,2302.66,356,15.3529,-69695.65625,156.6655,1945.59,356
1785000,2309.34,357,15.1808,-69504.890625,156.9042,1926.01,357
1790000,2341.25,358,15.284,-70021.59375,156.671,1947.69,358
1795000,2315.2,359,15.4032,-70128.671875,156.7346,1940.58,359
1800000,2328.73,360,15.3069,-70385.0625,156.7525,1955.38,360
1805000,2330.29,361,15.1944,-70252.8203125,156.6507,1939.16,361
1810000,2329.93,362,15.4078,-70304.8828125,156.6768,1970.25,362
1815000,2299.18,363,15.2765,-69998.8671875,156.7478,1946.11,363
1820000,2310.0,364,15.4187,-70479.78125,156.7659,1932.62,364
1825000,2026.35,365,15.0462,-69875.5234375,156.7259,1829.62,365
1830000,-224.41,366,13.9581,-59021.6015625,157.6897,182.79,366
1835000,2237.7,367,15.231,-70387.3515625,156.5335,1756.61,367
1840000,-67.8,368,14.8266,-69118.265625,156.7158,1707.93,368
1845000,2222.56,369,15.1343,-70381.6328125,156.8098,1888.86,369
1850000,2266.7,370,15.1343,-70714.3828125,156.7926,1926.41,370
1855000,2275.18,371,15.41,-70816.234375,156.8232,1943.45,371
1860000,2226.99,372,15.1353,-70932.3203125,156.5634,1893.29,372
1865000,2283.57,373,15.1263,-70844.8828125,156.7544,1923.82,373
1870000,2284.06,374,15.2415,-71133.6640625,156.7756,1916.42,374
1875000,161.24,375,15.2634,-70792.1484375,156.8026,1748.27,375
1880000,1760.9,376,15.4569,-71745.6875,156.7226,1942.29,376
1885000,2290.41,377,15.2776,-71593.546875,156.7171,1944.15,377
1890000,2189.8,378,14.5532,-69711.3046875,156.7417,1695.34,378
1895000,2263.01,379,15.4219,-71592.875,156.7871,1845.77,379
1900000,2130.37,380,15.4698,-71627.6328125,156.8361,1916.79,380
1905000,999.63,381,14.8682,-71413.4140625,156.7058,1774.15,381
1910000,1779.65,382,15.3879,-71930.046875,156.7622,1939.01,382
1915000,2296.02,383,15.4663,-72153.8515625,156.7107,1949.42,383
1920000,2301.19,384,15.3333,-72404.96875,156.8611,1957.27,384
1925000,2317.42,385,15.1003,-72335.8671875,156.585,1964.43,385
1930000,2297.56,386,15.2386,-72824.7265625,156.6049,1949.41,386
1935000,2209.59,387,15.1466,-72714.875,156.5929,1886.54,387
