Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Update Time,Real Det Return
71.0952,1855000,-18362.1328125,29.7042,371,214.76,371,712.87
71.9961,1860000,-18456.822265625,29.7593,372,293.65,372,797.47
72.0331,1865000,-18546.875,29.8132,373,225.81,373,779.48
69.4866,1870000,-18209.69921875,29.1726,374,246.58,374,662.87
69.8772,1875000,-18276.861328125,29.559,375,245.29,375,690.83
72.3477,1880000,-18525.87890625,29.649,376,169.01,376,557.98
69.0295,1885000,-18194.9140625,28.838,377,259.94,377,682.73
70.4181,1890000,-18387.515625,29.231,378,246.93,378,840.22
68.6269,1895000,-18108.08203125,29.0315,379,227.17,379,640.71
70.9776,1900000,-18455.501953125,29.7657,380,211.38,380,640.27
68.0026,1905000,-17907.10546875,28.5932,381,238.32,381,635.81
70.4646,1910000,-18304.35546875,29.3277,382,255.42,382,664.97
67.1039,1915000,-17745.87890625,27.7216,383,224.8,383,511.56
69.0022,1920000,-18158.56640625,29.5315,384,157.91,384,528.29
69.0295,1925000,-18154.513671875,29.3281,385,227.68,385,527.14
66.5389,1930000,-17772.1015625,28.5615,386,237.46,386,744.77
69.5485,1935000,-18255.431640625,29.5491,387,199.36,387,698.18
69.4679,1940000,-18304.34375,29.4543,388,268.81,388,637.23
69.8215,1945000,-18236.94921875,29.4368,389,219.11,389,757.08
70.2226,1950000,-18413.490234375,29.1756,390,182.05,390,607.09
72.3764,1955000,-18749.25,30.1667,391,231.81,391,500.24
68.8175,1960000,-18332.51171875,29.5837,392,292.7,392,838.68
68.3073,1965000,-18231.60546875,29.2221,393,224.52,393,805.55
69.7575,1970000,-18354.05078125,29.3588,394,164.24,394,752.56
67.399,1975000,-17868.869140625,28.7071,395,210.78,395,778.58
69.2493,1980000,-18470.03125,29.2112,396,160.85,396,709.79
68.6214,1985000,-18092.24609375,28.6558,397,186.32,397,742.65
72.164,1990000,-18737.1796875,29.5184,398,208.92,398,742.34
70.8695,1995000,-18635.25390625,29.924,399,185.7,399,697.05
67.7592,2000000,-18252.162109375,28.88,400,216.55,400,614.63
