Running Update Time,Itration,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL
290,290,2270.72,1450000,15.9014,1932.93,-11117.431640625,156.8501
291,291,2265.14,1455000,15.8241,1932.34,-11083.03515625,156.6649
292,292,2250.41,1460000,15.4954,1884.2,-11119.6083984375,156.8397
293,293,2260.02,1465000,15.6966,1921.17,-11124.2421875,156.7289
294,294,2255.49,1470000,15.6613,1928.49,-11114.400390625,156.7198
295,295,2264.22,1475000,15.5551,1927.47,-11159.423828125,156.6419
296,296,2271.87,1480000,15.6346,1917.82,-11204.6591796875,156.7332
297,297,2270.41,1485000,15.5382,1923.09,-11162.1171875,156.6205
298,298,2255.7,1490000,15.742,1916.89,-11239.5263671875,156.6945
299,299,2276.59,1495000,15.4628,1916.59,-11223.900390625,156.696
300,300,2258.7,1500000,15.4018,1906.43,-11247.8974609375,156.8009
301,301,2276.96,1505000,15.7119,1929.38,-11289.982421875,156.6456
302,302,2260.83,1510000,15.814,1933.3,-11314.0029296875,156.774
303,303,2267.99,1515000,15.6919,1910.97,-11299.07421875,156.637
304,304,2288.08,1520000,15.7185,1942.68,-11347.955078125,156.8096
305,305,2265.71,1525000,15.6883,1912.64,-11362.138671875,156.6657
306,306,2270.3,1530000,15.7641,1936.27,-11382.802734375,156.7717
307,307,2284.2,1535000,15.6313,1945.88,-11390.234375,156.6606
308,308,2304.42,1540000,15.7432,1942.47,-11402.15234375,156.7366
309,309,2295.06,1545000,15.7165,1917.64,-11448.583984375,156.6814
310,310,2270.35,1550000,15.7496,1930.53,-11448.3720703125,156.8488
311,311,2303.01,1555000,15.7537,1931.0,-11437.25390625,156.753
312,312,2294.62,1560000,15.7707,1929.96,-11513.33984375,156.7515
313,313,2294.12,1565000,15.4882,1924.33,-11474.75,156.7283
314,314,2287.3,1570000,15.6712,1938.05,-11514.1923828125,156.6219
315,315,2311.11,1575000,15.6656,1952.04,-11563.763671875,156.8291
