Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration,Reward Loss
16.1336,2667.12,3130.0,45.4961,234,1170000,234,-1959.7039794921875
18.2344,3312.82,3001.85,45.6423,235,1175000,235,-1950.728759765625
20.661,4009.06,3244.4,45.2095,236,1180000,236,-1842.745361328125
17.5871,3570.35,3040.72,45.3878,237,1185000,237,-2026.7281494140625
19.3525,4049.58,3309.66,45.1298,238,1190000,238,-1909.5511474609375
17.4549,3809.12,3351.88,45.0997,239,1195000,239,-1946.6578369140625
20.141,3901.39,3304.45,45.513,240,1200000,240,-2066.438232421875
18.3496,2943.9,3185.8,45.154,241,1205000,241,-2019.52099609375
19.1834,4008.38,3485.63,45.2515,242,1210000,242,-2010.1693115234375
19.502,3937.13,3436.4,45.6483,243,1215000,243,-2067.12158203125
19.4723,4093.27,3192.96,45.3216,244,1220000,244,-2148.098876953125
20.6194,4106.15,3181.76,45.2971,245,1225000,245,-2184.36181640625
19.754,3751.15,3187.25,45.7517,246,1230000,246,-2154.390380859375
19.7322,3862.39,2931.32,45.3508,247,1235000,247,-2410.351318359375
16.3634,2078.18,2173.87,45.3554,248,1240000,248,-2250.789306640625
17.3026,1868.44,1964.87,45.4971,249,1245000,249,-2357.93896484375
18.0387,2847.16,3147.07,45.2735,250,1250000,250,-2292.952880859375
15.3319,2647.57,2576.5,45.4849,251,1255000,251,-2353.390625
27.0981,2076.36,2444.11,45.2879,252,1260000,252,-2483.741943359375
14.4376,3588.17,2875.28,45.6167,253,1265000,253,-2336.56982421875
19.6895,3585.47,2584.31,45.3976,254,1270000,254,-2215.86474609375
17.3935,3544.06,3387.76,45.6683,255,1275000,255,-2267.119140625
16.3317,3875.55,3140.78,45.6668,256,1280000,256,-2442.351806640625
16.8003,3919.46,2718.2,45.4005,257,1285000,257,-2302.16552734375
17.1762,3991.2,3255.77,45.0566,258,1290000,258,-2306.988525390625
16.4585,3922.37,2500.53,44.8911,259,1295000,259,-2313.305419921875
17.5741,3537.04,2734.86,45.0134,260,1300000,260,-2292.451904296875
18.1827,3039.83,3030.17,45.8137,261,1305000,261,-2538.838623046875
16.5596,3964.42,3550.65,45.3432,262,1310000,262,-2483.03662109375
15.7372,2455.76,2564.15,45.6085,263,1315000,263,-2625.503173828125
18.5918,3204.51,3133.46,45.2746,264,1320000,264,-2316.455810546875
18.0389,3878.37,3739.77,44.8637,265,1325000,265,-2336.966064453125
17.775,3902.99,3269.14,45.1157,266,1330000,266,-2404.2529296875
16.4853,3749.6,3423.48,45.5255,267,1335000,267,-2483.3623046875
19.5184,3820.66,3539.03,45.2713,268,1340000,268,-2361.898681640625
17.5675,3912.32,3063.18,45.4316,269,1345000,269,-2552.299560546875
19.4157,3960.42,3438.64,45.5105,270,1350000,270,-2356.392333984375
16.2564,3987.89,2912.49,45.4154,271,1355000,271,-2537.54833984375
17.4104,4049.03,2672.46,45.2459,272,1360000,272,-2532.794921875
18.5312,3995.49,3577.04,45.0799,273,1365000,273,-2520.801025390625
16.3304,3958.75,2877.21,45.4296,274,1370000,274,-2591.282470703125
17.4109,3926.49,3290.08,45.3424,275,1375000,275,-2698.45166015625
17.6097,3949.29,3440.81,45.3397,276,1380000,276,-2829.043701171875
17.6846,3764.16,3355.86,45.1937,277,1385000,277,-2775.2060546875
18.2473,3777.49,2782.86,45.2747,278,1390000,278,-2634.52294921875
16.0757,3625.02,3521.21,45.202,279,1395000,279,-2709.8203125
17.7307,3703.36,3612.08,44.9087,280,1400000,280,-2656.021484375
17.1944,3760.42,3691.85,45.1133,281,1405000,281,-2703.3505859375
16.389,3848.82,3170.81,44.9992,282,1410000,282,-2748.43115234375
16.8307,3670.39,3729.22,44.9728,283,1415000,283,-2772.878662109375
15.7393,3644.97,3392.55,45.1841,284,1420000,284,-2864.1630859375
17.0294,3685.93,3501.7,44.8752,285,1425000,285,-2755.754638671875
15.9319,3748.17,3030.25,45.2424,286,1430000,286,-2847.104248046875
17.7374,3766.18,3668.04,44.8521,287,1435000,287,-2788.37353515625
15.3205,3769.32,2874.26,44.9831,288,1440000,288,-2893.444091796875
17.4127,3769.33,3411.6,45.0648,289,1445000,289,-2857.95166015625
16.5994,3914.71,3229.86,45.2612,290,1450000,290,-2928.55810546875
16.186,3747.08,2688.18,45.2342,291,1455000,291,-2903.033203125
16.9074,3948.76,3266.29,45.0966,292,1460000,292,-2913.836181640625
14.8817,3998.77,2440.6,45.2963,293,1465000,293,-3039.72705078125
17.1023,3947.68,2607.59,45.2043,294,1470000,294,-2933.312255859375
15.665,3695.02,3442.36,45.1834,295,1475000,295,-3028.063232421875
16.1585,3734.06,2748.57,44.8568,296,1480000,296,-2993.528076171875
16.8195,3994.94,3460.51,45.2848,297,1485000,297,-3055.0703125
15.9117,3870.74,2695.16,44.9945,298,1490000,298,-3113.52734375
17.4593,3780.29,3353.52,45.1893,299,1495000,299,-3066.744384765625
16.4737,4094.25,3060.23,45.3892,300,1500000,300,-3129.687255859375
16.8099,4057.07,2938.73,45.4322,301,1505000,301,-3163.77880859375
15.935,3798.97,3178.35,45.1025,302,1510000,302,-3115.813232421875
14.6511,3738.42,2987.56,45.1687,303,1515000,303,-3259.06884765625
15.7548,3990.93,3059.85,45.1982,304,1520000,304,-3167.674072265625
15.3287,3750.44,2920.07,45.3197,305,1525000,305,-3271.8193359375
15.2693,3751.85,3169.04,45.287,306,1530000,306,-3308.32958984375
17.3952,3704.23,3256.37,45.2582,307,1535000,307,-3216.706787109375
17.7912,3848.73,3441.16,45.293,308,1540000,308,-3288.27294921875
16.6951,3805.89,3242.56,45.2114,309,1545000,309,-3379.4677734375
24.5867,-6.8,-6.37,47.9508,310,1550000,310,-3699.546875
17.922,3764.49,2537.64,45.7923,311,1555000,311,-3481.041748046875
20.1007,3867.71,3518.25,45.6652,312,1560000,312,-3359.340576171875
30.7809,1581.09,972.72,47.5311,313,1565000,313,-3512.700927734375
20.0628,4061.57,3291.99,44.974,314,1570000,314,-3361.847900390625
