Real Det Return,Itration,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Running Update Time
2310.4,334,1670000,-57706.421875,1925.35,15.0877,156.5636,334
2273.18,335,1675000,-57427.5390625,1943.46,15.0029,156.4605,335
2328.72,336,1680000,-57828.4296875,1965.59,15.2179,156.5694,336
2311.37,337,1685000,-58163.76953125,1958.4,15.3374,156.712,337
2290.76,338,1690000,-58021.30078125,1956.09,15.2965,156.5465,338
2318.42,339,1695000,-58111.609375,1942.85,15.1325,156.4994,339
2304.13,340,1700000,-58281.6328125,1954.37,15.4115,156.4575,340
2306.59,341,1705000,-58263.625,1967.26,15.3865,156.7365,341
2308.09,342,1710000,-58692.52734375,1955.8,15.3123,156.5017,342
2296.89,343,1715000,-58562.52734375,1955.45,15.1955,156.6466,343
2326.25,344,1720000,-58926.37890625,1960.66,15.3044,156.5075,344
2329.21,345,1725000,-59127.4765625,1972.86,15.2824,156.4515,345
2314.11,346,1730000,-59190.9140625,1971.37,15.3034,156.5011,346
2322.78,347,1735000,-59537.76953125,1981.49,15.4329,156.5177,347
2306.22,348,1740000,-59388.00390625,1982.47,15.4069,156.7103,348
2312.06,349,1745000,-59406.87109375,1966.12,15.3821,156.5508,349
2311.95,350,1750000,-59498.0859375,1961.07,15.3172,156.6823,350
2309.26,351,1755000,-59878.6640625,1962.85,15.1905,156.6451,351
2306.1,352,1760000,-59848.1875,1978.88,15.2771,156.5018,352
2309.82,353,1765000,-60270.78125,1969.5,15.3131,156.5211,353
2307.49,354,1770000,-60203.7421875,1968.01,15.1796,156.4322,354
2311.53,355,1775000,-60666.68359375,1961.64,15.3127,156.5949,355
2330.48,356,1780000,-60509.36328125,1958.95,15.161,156.4396,356
2315.0,357,1785000,-60721.46875,1977.83,15.2986,156.5435,357
2320.68,358,1790000,-60442.89453125,1977.41,15.2451,156.491,358
2314.76,359,1795000,-60821.55078125,1972.42,15.4255,156.5862,359
2341.72,360,1800000,-60862.4140625,1957.96,15.3833,156.5657,360
2343.92,361,1805000,-61375.96484375,1989.3,15.2821,156.5427,361
2339.42,362,1810000,-61692.32421875,1972.33,15.4982,156.5178,362
2350.91,363,1815000,-61686.921875,1977.06,15.3595,156.4887,363
2354.36,364,1820000,-61764.9296875,1989.1,15.4366,156.5255,364
2349.5,365,1825000,-62038.18359375,1990.35,15.4121,156.6292,365
2353.87,366,1830000,-62313.51953125,1971.58,15.4829,156.6094,366
2320.97,367,1835000,-62110.30078125,1976.68,15.3603,156.5371,367
2318.42,368,1840000,-62182.7109375,1984.6,15.2379,156.5551,368
2345.94,369,1845000,-62371.1328125,1988.79,15.3418,156.5469,369
2325.66,370,1850000,-62452.21484375,1983.77,15.5471,156.5581,370
2338.73,371,1855000,-62894.8359375,1963.64,15.3775,156.5666,371
2325.7,372,1860000,-62917.3359375,1986.47,15.3381,156.4819,372
2324.1,373,1865000,-62859.23046875,1979.13,15.1041,156.3963,373
2285.79,374,1870000,-63459.04296875,1961.74,15.2416,156.5764,374
2337.07,375,1875000,-63336.18359375,1966.72,15.3881,156.595,375
2347.07,376,1880000,-63782.3828125,1978.58,15.4307,156.6509,376
2336.6,377,1885000,-63774.95703125,1991.31,15.5311,156.6085,377
2320.94,378,1890000,-63873.0078125,1965.05,15.3031,156.4243,378
2322.64,379,1895000,-64084.2109375,1981.66,15.3628,156.54,379
2349.93,380,1900000,-64130.109375,1986.17,15.5564,156.5621,380
2294.13,381,1905000,-64122.53515625,1970.07,15.3612,156.7332,381
2279.68,382,1910000,-64146.87109375,1975.85,15.3002,156.5988,382
2316.97,383,1915000,-64597.421875,1972.45,15.346,156.5934,383
2291.92,384,1920000,-64335.60546875,1956.45,15.2488,156.6147,384
2281.34,385,1925000,-64548.84765625,1986.8,15.4706,156.4426,385
2300.91,386,1930000,-64539.9375,1982.2,15.235,156.6666,386
