Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Update Time,Running Forward KL,Reward Loss
21.5975,4885.54,1810000,4835.68,362,362,43.1106,-3451.746337890625
22.1788,4970.3,1815000,4831.59,363,363,43.955,-3515.341796875
22.6989,4886.04,1820000,4793.32,364,364,43.4774,-3518.75830078125
22.7687,4963.05,1825000,4836.4,365,365,43.9129,-3608.826904296875
21.5124,4909.08,1830000,4824.07,366,366,42.7859,-3496.3369140625
21.0462,4870.88,1835000,4605.38,367,367,42.9379,-3563.25146484375
21.4895,4970.61,1840000,4853.14,368,368,42.9469,-3638.36865234375
22.3874,4962.0,1845000,4861.84,369,369,43.9567,-3696.40771484375
21.2877,4960.5,1850000,4829.97,370,370,42.6248,-3679.424072265625
22.1096,4910.53,1855000,4815.85,371,371,43.3636,-3721.998779296875
21.8647,4950.42,1860000,4824.32,372,372,42.9031,-3758.316650390625
22.1565,4956.36,1865000,4844.76,373,373,43.6474,-3757.475341796875
21.1251,4936.24,1870000,4857.01,374,374,43.5262,-3787.42529296875
21.517,4952.51,1875000,4654.31,375,375,43.1912,-3851.07421875
21.8295,4446.99,1880000,4720.78,376,376,43.3576,-3800.773193359375
